text,label
The app's loading screen should display helpful tips or facts related to the service.,1
There should be an option to filter restaurants based on their proximity to user-defined locations.,1
The app's customer support hotline should offer extended hours for better accessibility.,0
There should be an option to provide feedback on the accuracy of order fulfillment.,1
The app's loading animation should be visually appealing to enhance user experience.,1
There should be an option to request contactless payment methods for added safety.,1
The app's promotional offers should be personalized based on past order history.,1
There should be an option to rate the speed of delivery for each order.,1
The app's customer support chat feature should include real-time typing indicators.,1
There should be an option to filter restaurants based on their ratings and reviews.,1
The app's loading screen should include progress indicators for better user feedback.,1
There should be an option to customize push notification settings for personalized alerts.,1
The app's customer support agents should be trained to handle a wider range of inquiries.,0
There should be an option to rate the accuracy of restaurant listings and menu information.,1
The app's loading animation should be interactive to keep users engaged.,1
There should be an option to filter restaurants based on their availability of outdoor seating.,1
The app's search feature should allow filtering by distance from current location.,1
Adding a feature to save favorite restaurants for quick access would be convenient.,1
The app's customer support should include a callback option for urgent issues.,1
There should be an option to provide feedback on the accuracy of delivery addresses.,1
The app's loading screen should display interesting facts or trivia related to food.,1
There should be an option to customize notification preferences for order updates.,1
The app's customer rating system should be transparent with clear criteria for ratings.,1
Adding a feature to track delivery drivers' estimated arrival times would be helpful.,1
The app's customer support should provide a satisfaction survey after each interaction.,1
There should be an option to filter restaurants based on their popularity among users.,1
The app's tutorial for new users should include interactive walkthroughs for key features.,1
There should be an option to rate the cleanliness of restaurants for user feedback.,1
The app's loading animation should be customizable with different themes for user preference.,1
There should be an option to provide feedback on the ease of use of the app's interface.,1
The app's customer support should offer multilingual assistance for diverse users.,1
There should be an option to filter restaurants based on their acceptance of special requests.,1
The app's loading screen should display motivational quotes or tips to engage users.,1
There should be an option to rate the accuracy of estimated preparation times for orders.,1
The app's customer support should include a chatbot for quick answers to common questions.,1
There should be an option to provide feedback on the variety of cuisines available on the app.,1
The app's loading animation should include progress indicators for better user feedback.,1
There should be an option to filter restaurants based on their opening hours for convenience.,1
The app's customer support should include video chat for visual assistance when needed.,1
There should be an option to provide feedback on the responsiveness of restaurant staff.,1
The app's loading screen should display interesting facts or trivia about the service.,1
There should be an option to rate the accuracy of estimated delivery times for orders.,1
The app's customer support should offer tutorials or guides for common troubleshooting.,1
There should be an option to provide feedback on the quality of packaging for delivered orders.,1
The app's loading animation should be interactive to keep users engaged during wait times.,1
There should be an option to rate the speed of customer service response times.,1
The app's customer support should offer email support for users who prefer written communication.,1
There should be an option to provide feedback on the accuracy of menu item descriptions.,1
The app's loading screen should display tips or suggestions for getting the most out of the service.,1
There should be an option to rate the accuracy of order tracking information provided.,1
The app's customer support should include a knowledge base for self-service assistance.,1
There should be an option to provide feedback on the speed of delivery for orders.,1
The app's loading animation should be customizable with different animations for variety.,1
There should be an option to rate the convenience of payment methods accepted on the app.,1
The app's customer support should offer live chat for immediate assistance with issues.,1
There should be an option to provide feedback on the accuracy of restaurant location information.,1
The app's loading screen should display user testimonials or success stories for inspiration.,1
There should be an option to rate the friendliness and professionalism of delivery drivers.,1
The app's customer support should offer phone support for users who prefer verbal communication.,1
There should be an option to provide feedback on the ease of navigation within the app.,1
The app's loading animation should include interactive elements for user engagement.,1
There should be an option to rate the overall satisfaction with the app's user experience.,1
The app's customer support should include a feedback form for continuous improvement.,1
There should be an option to provide feedback on the availability of promotions and discounts.,1
The app's loading screen should display tips or suggestions for optimizing order experiences.,1
"The app frequently crashes upon opening, making it unusable.",0
The delivery driver was extremely rude and unprofessional.,0
"The food arrived cold and soggy, completely unacceptable.",0
"The app charged me twice for the same order, causing frustration.",0
The customer support team was unresponsive to my inquiries.,0
The app's interface is cluttered and confusing to navigate.,0
The estimated delivery time was significantly longer than promised.,0
"The app logged me out without warning, losing my order progress.",0
"The restaurant forgot to include items from my order, disappointing experience.",0
The delivery driver got lost and took much longer than expected.,0
"The app doesn't allow for customization of orders, limiting options.",0
The customer support representative was dismissive and unhelpful.,0
"The app doesn't offer refunds for incorrect or missing orders, frustrating policy.",0
The food quality was subpar and not worth the price paid.,0
"The app frequently freezes during checkout, causing delays.",0
The delivery was delayed without any notification or explanation.,0
"The app's GPS tracking is inaccurate, leading to wrong delivery locations.",0
"The app's customer service hotline is always busy, difficult to reach.",0
The restaurant canceled my order last minute without notifying me.,0
"The app's search function doesn't return relevant results, frustrating experience.",0
"The delivery packaging was damaged, resulting in spilled food.",0
"The app charged a hidden service fee, not disclosed upfront.",0
The delivery driver was careless and spilled food in the bag.,0
"The app's checkout process is slow and cumbersome, needs improvement.",0
"The order arrived incomplete, missing essential items.",0
The app's customer support chatbot is unhelpful and provides generic responses.,0
"The restaurant received the order late, resulting in cold food upon arrival.",0
The app's interface is outdated and lacks modern features.,0
The delivery driver couldn't find my address and canceled the order.,0
"The app charged a delivery fee despite promising free delivery, misleading.",0
"The food portion sizes were much smaller than advertised, disappointing.",0
"The app's payment processing is unreliable, causing failed transactions.",0
The delivery driver was reckless and almost caused an accident.,0
"The app doesn't provide updates on delayed orders, leaving customers in the dark.",0
"The restaurant forgot to include utensils with the order, inconvenient.",0
"The app's loading times are excessively long, frustrating to use.",0
"The delivery arrived late and the food was stale, unacceptable.",0
The app doesn't offer any compensation for orders that are delivered late.,0
"The restaurant prepared the wrong items, resulting in an incorrect order.",0
The app's customer support team is unhelpful and lacks empathy.,0
The delivery driver was rude and impatient during the drop-off.,0
"The app frequently logs me out, forcing me to re-enter login credentials.",0
The order took much longer to prepare than the estimated time provided.,0
The app doesn't provide refunds for orders that arrive damaged.,0
"The restaurant forgot to include condiments with the order, disappointing.",0
The app's search results are inconsistent and often display irrelevant options.,0
The delivery driver was careless and spilled sauce all over the packaging.,0
